Frattesi,Davide,Sassuolo
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,94
NON_PEN_XG,0.16,94
TOTAL_SHOTS,1.67,90
ASSISTS,0.00,11
XA,0.08,63
NON_PEN_XG+XA,0.24,87
SHOT_CREATIONS,2.25,68
PASSES_ATTEMPTED,40.41,20
PASS_COMPLETION_PERCENTAGE,83.8,51
PROGRESSIVE_PASSES,3.53,43
PROGRESSIVE CARRIES,4.24,59
DRIBBLES_COMPLETED,1.09,73
TOUCHES_IN_AREA,2.83,95
PROGRESSIVE_PASSES_RECIEVED,2.89,80
PRESSURES,15.87,27
TACKLES,1.48,12
INTERCEPTIONS,1.22,25
BLOCKS,1.86,75
CLEARANCES,1.80,71
AERIAL_DUELS_WON,0.71,25
