Toljan,Jeremy,Sassuolo
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,18
TOTAL_SHOTS,0.19,7
ASSISTS,0.14,77
XA,0.07,44
NON_PEN_XG+XA,0.08,26
SHOT_CREATIONS,1.72,54
PASSES_ATTEMPTED,52.12,49
PASS_COMPLETION_PERCENTAGE,88.6,98
PROGRESSIVE_PASSES,2.65,12
PROGRESSIVE CARRIES,3.39,21
DRIBBLES_COMPLETED,0.23,5
TOUCHES_IN_AREA,2.04,77
PROGRESSIVE_PASSES_RECIEVED,3.34,86
PRESSURES,11.46,30
TACKLES,1.16,7
INTERCEPTIONS,1.16,16
BLOCKS,1.90,54
CLEARANCES,2.09,37
AERIAL_DUELS_WON,0.42,5
