Raspadori,Giacomo,Sassuolo
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.47,76
NON_PEN_XG,0.32,41
TOTAL_SHOTS,2.32,43
ASSISTS,0.09,35
XA,0.17,72
NON_PEN_XG+XA,0.49,53
SHOT_CREATIONS,4.22,96
PASSES_ATTEMPTED,30.65,81
PASS_COMPLETION_PERCENTAGE,77.4,81
PROGRESSIVE_PASSES,1.75,63
PROGRESSIVE CARRIES,3.22,61
DRIBBLES_COMPLETED,0.99,52
TOUCHES_IN_AREA,5.31,58
PROGRESSIVE_PASSES_RECIEVED,9.85,92
PRESSURES,14.45,50
TACKLES,0.90,68
INTERCEPTIONS,0.66,83
BLOCKS,0.99,77
CLEARANCES,0.19,9
AERIAL_DUELS_WON,0.28,4
