Berardi,Domenico,Sassuolo
RAM,AM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.42,90
NON_PEN_XG,0.36,91
TOTAL_SHOTS,4.00,99
ASSISTS,0.26,76
XA,0.21,70
NON_PEN_XG+XA,0.57,86
SHOT_CREATIONS,4.55,86
PASSES_ATTEMPTED,46.02,77
PASS_COMPLETION_PERCENTAGE,73.5,34
PROGRESSIVE_PASSES,5.94,95
PROGRESSIVE CARRIES,7.16,73
DRIBBLES_COMPLETED,1.16,26
TOUCHES_IN_AREA,4.81,70
PROGRESSIVE_PASSES_RECIEVED,7.68,77
PRESSURES,16.10,53
TACKLES,1.36,54
INTERCEPTIONS,1.48,92
BLOCKS,1.58,81
CLEARANCES,0.77,77
AERIAL_DUELS_WON,0.61,46
