"b'uricic, Filip'",Sassuolo
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,23
NON_PEN_XG,0.23,62
TOTAL_SHOTS,2.39,69
ASSISTS,0.18,48
XA,0.23,80
NON_PEN_XG+XA,0.46,70
SHOT_CREATIONS,3.92,77
PASSES_ATTEMPTED,37.39,45
PASS_COMPLETION_PERCENTAGE,80.1,76
PROGRESSIVE_PASSES,4.01,73
PROGRESSIVE CARRIES,6.40,58
DRIBBLES_COMPLETED,1.40,38
TOUCHES_IN_AREA,4.10,55
PROGRESSIVE_PASSES_RECIEVED,6.76,57
PRESSURES,17.43,62
TACKLES,1.40,56
INTERCEPTIONS,0.59,20
BLOCKS,0.99,31
CLEARANCES,0.59,58
AERIAL_DUELS_WON,0.90,69
