Lopez,Maxime,Sassuolo
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,60
NON_PEN_XG,0.06,44
TOTAL_SHOTS,0.53,21
ASSISTS,0.00,11
XA,0.06,47
NON_PEN_XG+XA,0.12,42
SHOT_CREATIONS,2.60,82
PASSES_ATTEMPTED,84.49,97
PASS_COMPLETION_PERCENTAGE,92.7,99
PROGRESSIVE_PASSES,6.31,91
PROGRESSIVE CARRIES,6.24,88
DRIBBLES_COMPLETED,0.77,49
TOUCHES_IN_AREA,0.73,29
PROGRESSIVE_PASSES_RECIEVED,1.67,49
PRESSURES,16.89,33
TACKLES,1.60,16
INTERCEPTIONS,1.54,45
BLOCKS,1.00,8
CLEARANCES,0.83,16
AERIAL_DUELS_WON,0.17,1
