Junior Traorè,Hamed,Sassuolo
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,47
NON_PEN_XG,0.20,46
TOTAL_SHOTS,2.04,54
ASSISTS,0.12,27
XA,0.22,76
NON_PEN_XG+XA,0.42,61
SHOT_CREATIONS,3.79,73
PASSES_ATTEMPTED,44.92,74
PASS_COMPLETION_PERCENTAGE,77.7,59
PROGRESSIVE_PASSES,4.04,74
PROGRESSIVE CARRIES,6.91,68
DRIBBLES_COMPLETED,2.29,78
TOUCHES_IN_AREA,3.33,35
PROGRESSIVE_PASSES_RECIEVED,5.70,39
PRESSURES,18.52,73
TACKLES,1.79,77
INTERCEPTIONS,0.96,57
BLOCKS,1.29,59
CLEARANCES,0.62,61
AERIAL_DUELS_WON,0.62,48
