Defrel,Grégoire,Sassuolo
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,3
NON_PEN_XG,0.18,4
TOTAL_SHOTS,1.43,2
ASSISTS,0.17,68
XA,0.10,38
NON_PEN_XG+XA,0.28,4
SHOT_CREATIONS,2.59,68
PASSES_ATTEMPTED,28.22,74
PASS_COMPLETION_PERCENTAGE,86.7,99
PROGRESSIVE_PASSES,1.76,65
PROGRESSIVE CARRIES,3.53,69
DRIBBLES_COMPLETED,1.05,56
TOUCHES_IN_AREA,3.80,11
PROGRESSIVE_PASSES_RECIEVED,7.83,56
PRESSURES,17.03,76
TACKLES,1.32,92
INTERCEPTIONS,0.66,83
BLOCKS,0.99,77
CLEARANCES,0.50,35
AERIAL_DUELS_WON,0.72,13
