Sawyers,Romaine,Stoke City
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.25,3
ASSISTS,0.00,11
XA,0.04,23
NON_PEN_XG+XA,0.05,9
SHOT_CREATIONS,0.89,7
PASSES_ATTEMPTED,38.83,19
PASS_COMPLETION_PERCENTAGE,82.0,38
PROGRESSIVE_PASSES,3.56,43
PROGRESSIVE CARRIES,2.42,19
DRIBBLES_COMPLETED,0.51,25
TOUCHES_IN_AREA,0.13,1
PROGRESSIVE_PASSES_RECIEVED,0.13,1
PRESSURES,18.33,48
TACKLES,2.42,60
INTERCEPTIONS,1.40,33
BLOCKS,1.27,24
CLEARANCES,0.89,19
AERIAL_DUELS_WON,0.51,11
