"b'Calhanoglu, Hakan'",Inter
AM,CM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,45
NON_PEN_XG,0.16,26
TOTAL_SHOTS,2.62,77
ASSISTS,0.37,93
XA,0.30,92
NON_PEN_XG+XA,0.46,69
SHOT_CREATIONS,5.67,97
PASSES_ATTEMPTED,59.71,96
PASS_COMPLETION_PERCENTAGE,79.7,72
PROGRESSIVE_PASSES,5.32,92
PROGRESSIVE CARRIES,6.93,69
DRIBBLES_COMPLETED,1.12,24
TOUCHES_IN_AREA,2.68,18
PROGRESSIVE_PASSES_RECIEVED,5.26,30
PRESSURES,13.69,28
TACKLES,1.01,24
INTERCEPTIONS,0.92,53
BLOCKS,1.27,57
CLEARANCES,0.55,55
AERIAL_DUELS_WON,0.43,27
