Džeko,Edin,Inter
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.54,84
NON_PEN_XG,0.56,91
TOTAL_SHOTS,3.30,86
ASSISTS,0.17,70
XA,0.18,79
NON_PEN_XG+XA,0.73,95
SHOT_CREATIONS,2.84,73
PASSES_ATTEMPTED,27.39,70
PASS_COMPLETION_PERCENTAGE,70.5,36
PROGRESSIVE_PASSES,2.32,79
PROGRESSIVE CARRIES,3.33,63
DRIBBLES_COMPLETED,0.98,50
TOUCHES_IN_AREA,6.57,85
PROGRESSIVE_PASSES_RECIEVED,9.35,86
PRESSURES,10.67,17
TACKLES,0.49,27
INTERCEPTIONS,0.26,23
BLOCKS,0.83,64
CLEARANCES,0.77,63
AERIAL_DUELS_WON,4.10,88
