Correa,Joaquín,Inter
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.50,79
NON_PEN_XG,0.37,57
TOTAL_SHOTS,2.65,64
ASSISTS,0.14,54
XA,0.11,43
NON_PEN_XG+XA,0.48,52
SHOT_CREATIONS,3.42,89
PASSES_ATTEMPTED,29.50,80
PASS_COMPLETION_PERCENTAGE,80.2,89
PROGRESSIVE_PASSES,2.74,88
PROGRESSIVE CARRIES,6.12,91
DRIBBLES_COMPLETED,1.37,71
TOUCHES_IN_AREA,7.58,95
PROGRESSIVE_PASSES_RECIEVED,10.00,93
PRESSURES,16.44,70
TACKLES,0.91,69
INTERCEPTIONS,0.41,56
BLOCKS,0.59,29
CLEARANCES,0.32,22
AERIAL_DUELS_WON,0.59,10
