Cordaz,Alex,Inter
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.43,2
GOALS_CONCEDED,2.75,1
SAVE_PERCENTAGE,55.0,1
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.37,96
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,0.0,1
TOUCHES,42.67,86
LAUNCH_PERCENTAGE,46.6,64
GOAL_KICKS,9.00,95
AVG_GOAL_KICK_DISTANCE,37.6,23
CROSSES_STOPPED_PERCENTAGE,6.8,41
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.71,62
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.4,49
