"b'Handanovic, Samir'",Inter
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.08,38
GOALS_CONCEDED,0.79,95
SAVE_PERCENTAGE,76.6,93
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.20,1
PENALTY_SAVE_PERCENTAGE,14.3,54
CLEAN_SHEET_PERCENTAGE,42.9,92
TOUCHES,33.13,36
LAUNCH_PERCENTAGE,25.7,6
GOAL_KICKS,4.69,2
AVG_GOAL_KICK_DISTANCE,30.5,9
CROSSES_STOPPED_PERCENTAGE,5.4,15
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.31,5
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.4,6
