Dimarco,Federico,Inter
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,99
NON_PEN_XG,0.13,99
TOTAL_SHOTS,1.93,99
ASSISTS,0.10,98
XA,0.26,99
NON_PEN_XG+XA,0.39,99
SHOT_CREATIONS,4.02,99
PASSES_ATTEMPTED,66.74,83
PASS_COMPLETION_PERCENTAGE,75.8,3
PROGRESSIVE_PASSES,5.38,97
PROGRESSIVE CARRIES,6.02,96
DRIBBLES_COMPLETED,0.47,86
TOUCHES_IN_AREA,2.69,99
PROGRESSIVE_PASSES_RECIEVED,3.66,99
PRESSURES,9.67,63
TACKLES,1.23,28
INTERCEPTIONS,1.63,44
BLOCKS,1.40,23
CLEARANCES,2.19,1
AERIAL_DUELS_WON,0.37,1
