"b'Brozovic, Marcelo'",Inter
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,45
NON_PEN_XG,0.05,41
TOTAL_SHOTS,1.07,62
ASSISTS,0.14,80
XA,0.11,80
NON_PEN_XG+XA,0.16,65
SHOT_CREATIONS,3.04,91
PASSES_ATTEMPTED,78.78,95
PASS_COMPLETION_PERCENTAGE,90.4,95
PROGRESSIVE_PASSES,6.79,95
PROGRESSIVE CARRIES,5.03,76
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,0.74,29
PROGRESSIVE_PASSES_RECIEVED,1.27,34
PRESSURES,18.54,52
TACKLES,2.02,40
INTERCEPTIONS,1.69,58
BLOCKS,1.48,45
CLEARANCES,1.34,43
AERIAL_DUELS_WON,0.70,24
