"b'Perisic, Ivan'",Inter
LB,AM,LM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,99
NON_PEN_XG,0.16,99
TOTAL_SHOTS,1.73,98
ASSISTS,0.10,60
XA,0.17,91
NON_PEN_XG+XA,0.33,98
SHOT_CREATIONS,2.58,87
PASSES_ATTEMPTED,44.13,14
PASS_COMPLETION_PERCENTAGE,73.7,23
PROGRESSIVE_PASSES,3.20,36
PROGRESSIVE CARRIES,6.27,82
DRIBBLES_COMPLETED,0.75,50
TOUCHES_IN_AREA,4.90,99
PROGRESSIVE_PASSES_RECIEVED,3.79,91
PRESSURES,11.33,28
TACKLES,1.47,16
INTERCEPTIONS,1.60,49
BLOCKS,2.32,84
CLEARANCES,1.40,10
AERIAL_DUELS_WON,1.73,81
