Melo,Arthur,Juventus
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,68
NON_PEN_XG,0.03,13
TOTAL_SHOTS,0.51,19
ASSISTS,0.00,11
XA,0.08,58
NON_PEN_XG+XA,0.10,32
SHOT_CREATIONS,2.28,71
PASSES_ATTEMPTED,84.34,96
PASS_COMPLETION_PERCENTAGE,94.0,99
PROGRESSIVE_PASSES,5.99,90
PROGRESSIVE CARRIES,6.84,91
DRIBBLES_COMPLETED,1.44,89
TOUCHES_IN_AREA,0.76,30
PROGRESSIVE_PASSES_RECIEVED,1.60,47
PRESSURES,18.66,52
TACKLES,1.77,27
INTERCEPTIONS,1.10,17
BLOCKS,1.10,12
CLEARANCES,0.34,1
AERIAL_DUELS_WON,0.34,5
