de Ligt,Matthijs,Juventus
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,61
NON_PEN_XG,0.06,69
TOTAL_SHOTS,0.81,88
ASSISTS,0.03,60
XA,0.02,64
NON_PEN_XG+XA,0.08,67
SHOT_CREATIONS,0.99,90
PASSES_ATTEMPTED,63.71,77
PASS_COMPLETION_PERCENTAGE,91.8,91
PROGRESSIVE_PASSES,2.36,40
PROGRESSIVE CARRIES,3.14,63
DRIBBLES_COMPLETED,0.18,43
TOUCHES_IN_AREA,1.38,92
PROGRESSIVE_PASSES_RECIEVED,0.16,51
PRESSURES,8.96,52
TACKLES,1.25,29
INTERCEPTIONS,1.14,6
BLOCKS,1.48,31
CLEARANCES,4.73,44
AERIAL_DUELS_WON,3.17,72
