Ronaldo,Cristiano,Juventus
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.65,93
NON_PEN_XG,0.59,95
TOTAL_SHOTS,4.63,98
ASSISTS,0.12,43
XA,0.11,44
NON_PEN_XG+XA,0.69,89
SHOT_CREATIONS,3.44,90
PASSES_ATTEMPTED,32.23,84
PASS_COMPLETION_PERCENTAGE,80.7,93
PROGRESSIVE_PASSES,2.31,79
PROGRESSIVE CARRIES,6.94,95
DRIBBLES_COMPLETED,1.47,77
TOUCHES_IN_AREA,6.45,84
PROGRESSIVE_PASSES_RECIEVED,8.44,69
PRESSURES,6.57,1
TACKLES,0.21,3
INTERCEPTIONS,0.35,43
BLOCKS,0.33,3
CLEARANCES,0.68,52
AERIAL_DUELS_WON,1.08,26
