Rabiot,Adrien,Juventus
CM,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,81
NON_PEN_XG,0.10,80
TOTAL_SHOTS,1.44,82
ASSISTS,0.12,75
XA,0.07,49
NON_PEN_XG+XA,0.17,68
SHOT_CREATIONS,1.71,45
PASSES_ATTEMPTED,51.96,53
PASS_COMPLETION_PERCENTAGE,88.4,85
PROGRESSIVE_PASSES,3.41,42
PROGRESSIVE CARRIES,4.94,74
DRIBBLES_COMPLETED,0.81,53
TOUCHES_IN_AREA,1.98,83
PROGRESSIVE_PASSES_RECIEVED,2.42,70
PRESSURES,20.08,70
TACKLES,2.72,76
INTERCEPTIONS,1.41,34
BLOCKS,1.92,79
CLEARANCES,1.47,48
AERIAL_DUELS_WON,1.92,79
