McKennie,Weston,Juventus
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,95
NON_PEN_XG,0.20,98
TOTAL_SHOTS,1.45,84
ASSISTS,0.00,11
XA,0.08,61
NON_PEN_XG+XA,0.29,91
SHOT_CREATIONS,2.22,67
PASSES_ATTEMPTED,39.94,20
PASS_COMPLETION_PERCENTAGE,81.5,35
PROGRESSIVE_PASSES,2.45,11
PROGRESSIVE CARRIES,3.63,46
DRIBBLES_COMPLETED,0.48,24
TOUCHES_IN_AREA,3.67,98
PROGRESSIVE_PASSES_RECIEVED,6.67,99
PRESSURES,18.93,55
TACKLES,1.96,37
INTERCEPTIONS,1.48,40
BLOCKS,1.70,64
CLEARANCES,1.22,35
AERIAL_DUELS_WON,1.74,73
