Ramsey,Aaron,Juventus
AM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,43
NON_PEN_XG,0.50,98
TOTAL_SHOTS,2.34,67
ASSISTS,0.29,83
XA,0.27,86
NON_PEN_XG+XA,0.77,98
SHOT_CREATIONS,3.90,76
PASSES_ATTEMPTED,60.81,98
PASS_COMPLETION_PERCENTAGE,87.6,99
PROGRESSIVE_PASSES,4.10,75
PROGRESSIVE CARRIES,6.64,63
DRIBBLES_COMPLETED,1.07,22
TOUCHES_IN_AREA,4.59,66
PROGRESSIVE_PASSES_RECIEVED,6.74,56
PRESSURES,14.35,34
TACKLES,1.37,55
INTERCEPTIONS,0.68,30
BLOCKS,0.68,9
CLEARANCES,0.98,87
AERIAL_DUELS_WON,0.78,63
