Kulusevski,Dejan,Juventus
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,20
NON_PEN_XG,0.16,29
TOTAL_SHOTS,1.60,26
ASSISTS,0.21,59
XA,0.30,91
NON_PEN_XG+XA,0.47,72
SHOT_CREATIONS,3.82,74
PASSES_ATTEMPTED,31.77,23
PASS_COMPLETION_PERCENTAGE,77.9,61
PROGRESSIVE_PASSES,3.21,45
PROGRESSIVE CARRIES,6.62,63
DRIBBLES_COMPLETED,1.40,39
TOUCHES_IN_AREA,6.78,92
PROGRESSIVE_PASSES_RECIEVED,8.22,86
PRESSURES,21.90,93
TACKLES,1.77,76
INTERCEPTIONS,0.70,30
BLOCKS,1.27,57
CLEARANCES,0.16,10
AERIAL_DUELS_WON,0.86,66
