De Sciglio,Mattia,Juventus
FB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,9
TOTAL_SHOTS,0.32,20
ASSISTS,0.11,64
XA,0.08,50
NON_PEN_XG+XA,0.09,27
SHOT_CREATIONS,1.49,41
PASSES_ATTEMPTED,56.14,65
PASS_COMPLETION_PERCENTAGE,84.0,87
PROGRESSIVE_PASSES,3.63,51
PROGRESSIVE CARRIES,3.52,26
DRIBBLES_COMPLETED,0.69,45
TOUCHES_IN_AREA,0.91,26
PROGRESSIVE_PASSES_RECIEVED,2.19,54
PRESSURES,10.61,21
TACKLES,2.08,54
INTERCEPTIONS,1.97,79
BLOCKS,2.29,83
CLEARANCES,2.77,71
AERIAL_DUELS_WON,1.23,51
