Rugani,Daniele,Juventus
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,77
NON_PEN_XG,0.04,37
TOTAL_SHOTS,0.38,31
ASSISTS,0.08,93
XA,0.03,81
NON_PEN_XG+XA,0.07,58
SHOT_CREATIONS,0.30,13
PASSES_ATTEMPTED,46.13,29
PASS_COMPLETION_PERCENTAGE,81.8,16
PROGRESSIVE_PASSES,2.27,34
PROGRESSIVE CARRIES,1.66,25
DRIBBLES_COMPLETED,0.23,56
TOUCHES_IN_AREA,1.06,76
PROGRESSIVE_PASSES_RECIEVED,0.30,79
PRESSURES,14.27,96
TACKLES,2.34,89
INTERCEPTIONS,1.28,16
BLOCKS,2.04,82
CLEARANCES,4.76,45
AERIAL_DUELS_WON,3.55,84
