Morata,Álvaro,Juventus
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.40,60
NON_PEN_XG,0.37,57
TOTAL_SHOTS,2.55,57
ASSISTS,0.19,74
XA,0.19,82
NON_PEN_XG+XA,0.57,69
SHOT_CREATIONS,2.86,73
PASSES_ATTEMPTED,24.76,57
PASS_COMPLETION_PERCENTAGE,74.7,64
PROGRESSIVE_PASSES,1.62,59
PROGRESSIVE CARRIES,3.52,68
DRIBBLES_COMPLETED,1.09,58
TOUCHES_IN_AREA,6.44,83
PROGRESSIVE_PASSES_RECIEVED,8.77,78
PRESSURES,15.52,59
TACKLES,0.72,51
INTERCEPTIONS,0.34,41
BLOCKS,0.87,67
CLEARANCES,0.81,69
AERIAL_DUELS_WON,1.40,36
