Locatelli,Manuel,Juventus
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,66
NON_PEN_XG,0.09,72
TOTAL_SHOTS,1.12,67
ASSISTS,0.08,59
XA,0.11,81
NON_PEN_XG+XA,0.20,78
SHOT_CREATIONS,2.53,80
PASSES_ATTEMPTED,75.50,94
PASS_COMPLETION_PERCENTAGE,87.2,78
PROGRESSIVE_PASSES,7.11,97
PROGRESSIVE CARRIES,4.76,71
DRIBBLES_COMPLETED,0.65,39
TOUCHES_IN_AREA,1.65,76
PROGRESSIVE_PASSES_RECIEVED,1.80,55
PRESSURES,15.24,20
TACKLES,2.51,65
INTERCEPTIONS,1.28,27
BLOCKS,1.75,67
CLEARANCES,1.80,72
AERIAL_DUELS_WON,1.57,67
