Danilo,,Juventus
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,41
NON_PEN_XG,0.03,40
TOTAL_SHOTS,0.49,39
ASSISTS,0.11,65
XA,0.09,61
NON_PEN_XG+XA,0.12,52
SHOT_CREATIONS,1.80,58
PASSES_ATTEMPTED,71.83,92
PASS_COMPLETION_PERCENTAGE,87.8,97
PROGRESSIVE_PASSES,5.01,86
PROGRESSIVE CARRIES,5.09,62
DRIBBLES_COMPLETED,0.52,24
TOUCHES_IN_AREA,0.71,18
PROGRESSIVE_PASSES_RECIEVED,0.98,10
PRESSURES,7.41,1
TACKLES,1.69,29
INTERCEPTIONS,1.44,35
BLOCKS,1.63,31
CLEARANCES,2.94,77
AERIAL_DUELS_WON,1.25,54
