Cuadrado,Juan,Juventus
AM,RB,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,89
NON_PEN_XG,0.05,69
TOTAL_SHOTS,0.88,78
ASSISTS,0.26,95
XA,0.28,99
NON_PEN_XG+XA,0.33,97
SHOT_CREATIONS,4.64,99
PASSES_ATTEMPTED,72.65,94
PASS_COMPLETION_PERCENTAGE,82.9,82
PROGRESSIVE_PASSES,5.82,94
PROGRESSIVE CARRIES,9.18,99
DRIBBLES_COMPLETED,2.03,97
TOUCHES_IN_AREA,3.07,93
PROGRESSIVE_PASSES_RECIEVED,4.02,93
PRESSURES,10.49,19
TACKLES,1.67,27
INTERCEPTIONS,1.27,24
BLOCKS,1.11,2
CLEARANCES,1.11,4
AERIAL_DUELS_WON,0.59,14
