Perin,Mattia,Juventus
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.21,95
GOALS_CONCEDED,1.22,67
SAVE_PERCENTAGE,76.1,91
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,39
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,34.6,82
TOUCHES,36.26,55
LAUNCH_PERCENTAGE,53.0,78
GOAL_KICKS,8.26,81
AVG_GOAL_KICK_DISTANCE,39.0,28
CROSSES_STOPPED_PERCENTAGE,6.1,24
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.22,1
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.0,3
