Bentancur,Rodrigo,Juventus
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,15
TOTAL_SHOTS,0.60,27
ASSISTS,0.15,84
XA,0.09,69
NON_PEN_XG+XA,0.12,42
SHOT_CREATIONS,2.76,85
PASSES_ATTEMPTED,66.01,85
PASS_COMPLETION_PERCENTAGE,87.9,82
PROGRESSIVE_PASSES,5.11,77
PROGRESSIVE CARRIES,3.99,52
DRIBBLES_COMPLETED,0.63,36
TOUCHES_IN_AREA,0.87,37
PROGRESSIVE_PASSES_RECIEVED,1.71,51
PRESSURES,21.20,77
TACKLES,2.76,78
INTERCEPTIONS,2.22,88
BLOCKS,1.98,82
CLEARANCES,1.44,47
AERIAL_DUELS_WON,1.32,55
