Losilla,Anthony,Bochum
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,59
NON_PEN_XG,0.06,51
TOTAL_SHOTS,1.22,73
ASSISTS,0.00,11
XA,0.02,9
NON_PEN_XG+XA,0.09,25
SHOT_CREATIONS,1.60,38
PASSES_ATTEMPTED,33.63,7
PASS_COMPLETION_PERCENTAGE,79.6,25
PROGRESSIVE_PASSES,2.31,9
PROGRESSIVE CARRIES,1.41,3
DRIBBLES_COMPLETED,0.70,45
TOUCHES_IN_AREA,1.09,51
PROGRESSIVE_PASSES_RECIEVED,1.02,22
PRESSURES,18.45,49
TACKLES,2.56,69
INTERCEPTIONS,2.88,97
BLOCKS,1.73,66
CLEARANCES,3.40,98
AERIAL_DUELS_WON,3.01,96
