Riemann,Manuel,Bochum
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.43,99
GOALS_CONCEDED,1.53,36
SAVE_PERCENTAGE,72.3,73
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.34,92
PENALTY_SAVE_PERCENTAGE,100.0,98
CLEAN_SHEET_PERCENTAGE,33.3,76
TOUCHES,51.67,99
LAUNCH_PERCENTAGE,71.2,95
GOAL_KICKS,8.53,89
AVG_GOAL_KICK_DISTANCE,55.0,84
CROSSES_STOPPED_PERCENTAGE,11.4,96
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.60,99
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.7,93
