Stafylidis,Kostas,Bochum
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.05,67
TOTAL_SHOTS,1.28,95
ASSISTS,0.00,8
XA,0.03,5
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,1.16,19
PASSES_ATTEMPTED,40.96,9
PASS_COMPLETION_PERCENTAGE,75.9,35
PROGRESSIVE_PASSES,2.70,15
PROGRESSIVE CARRIES,1.67,1
DRIBBLES_COMPLETED,0.64,40
TOUCHES_IN_AREA,0.26,2
PROGRESSIVE_PASSES_RECIEVED,0.39,1
PRESSURES,10.27,17
TACKLES,3.47,96
INTERCEPTIONS,3.21,99
BLOCKS,2.05,67
CLEARANCES,3.72,96
AERIAL_DUELS_WON,1.41,66
