Rexhbeçaj,Elvis,Bochum
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,80
NON_PEN_XG,0.08,67
TOTAL_SHOTS,1.18,70
ASSISTS,0.04,30
XA,0.10,73
NON_PEN_XG+XA,0.18,72
SHOT_CREATIONS,1.95,57
PASSES_ATTEMPTED,31.03,4
PASS_COMPLETION_PERCENTAGE,64.9,1
PROGRESSIVE_PASSES,2.14,5
PROGRESSIVE CARRIES,2.98,29
DRIBBLES_COMPLETED,0.69,43
TOUCHES_IN_AREA,1.03,47
PROGRESSIVE_PASSES_RECIEVED,2.64,75
PRESSURES,17.66,44
TACKLES,2.06,42
INTERCEPTIONS,1.26,26
BLOCKS,2.25,94
CLEARANCES,0.73,10
AERIAL_DUELS_WON,0.73,26
