Löwen,Eduard,Bochum
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.08,69
TOTAL_SHOTS,1.98,96
ASSISTS,0.21,92
XA,0.25,99
NON_PEN_XG+XA,0.33,97
SHOT_CREATIONS,3.45,96
PASSES_ATTEMPTED,41.87,24
PASS_COMPLETION_PERCENTAGE,69.8,1
PROGRESSIVE_PASSES,3.97,53
PROGRESSIVE CARRIES,3.24,35
DRIBBLES_COMPLETED,0.94,62
TOUCHES_IN_AREA,1.88,80
PROGRESSIVE_PASSES_RECIEVED,3.45,88
PRESSURES,24.64,93
TACKLES,2.19,48
INTERCEPTIONS,1.25,26
BLOCKS,1.25,22
CLEARANCES,1.98,79
AERIAL_DUELS_WON,1.77,74
