Negredo,Álvaro,Cádiz
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,13
NON_PEN_XG,0.17,4
TOTAL_SHOTS,1.77,13
ASSISTS,0.04,15
XA,0.09,32
NON_PEN_XG+XA,0.26,4
SHOT_CREATIONS,1.25,4
PASSES_ATTEMPTED,24.29,56
PASS_COMPLETION_PERCENTAGE,59.4,2
PROGRESSIVE_PASSES,1.45,50
PROGRESSIVE CARRIES,0.76,2
DRIBBLES_COMPLETED,1.13,61
TOUCHES_IN_AREA,2.94,2
PROGRESSIVE_PASSES_RECIEVED,4.10,2
PRESSURES,7.84,4
TACKLES,0.28,7
INTERCEPTIONS,0.16,6
BLOCKS,0.56,24
CLEARANCES,0.97,79
AERIAL_DUELS_WON,5.71,95
