Fernández,Álex,Cádiz
DF,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,92
NON_PEN_XG,0.12,84
TOTAL_SHOTS,0.74,36
ASSISTS,0.09,65
XA,0.06,41
NON_PEN_XG+XA,0.17,68
SHOT_CREATIONS,1.66,43
PASSES_ATTEMPTED,44.47,32
PASS_COMPLETION_PERCENTAGE,74.9,6
PROGRESSIVE_PASSES,3.79,48
PROGRESSIVE CARRIES,3.19,33
DRIBBLES_COMPLETED,0.37,13
TOUCHES_IN_AREA,1.48,69
PROGRESSIVE_PASSES_RECIEVED,1.85,56
PRESSURES,18.07,47
TACKLES,1.99,37
INTERCEPTIONS,1.62,52
BLOCKS,1.20,19
CLEARANCES,1.57,53
AERIAL_DUELS_WON,1.02,46
