Mauro López Gutiérrez,Marcos,Cádiz
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,95
NON_PEN_XG,0.09,92
TOTAL_SHOTS,0.27,14
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.09,81
SHOT_CREATIONS,0.14,2
PASSES_ATTEMPTED,20.75,1
PASS_COMPLETION_PERCENTAGE,82.7,21
PROGRESSIVE_PASSES,0.54,1
PROGRESSIVE CARRIES,0.41,1
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.34,8
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,6.78,20
TACKLES,1.09,17
INTERCEPTIONS,1.09,5
BLOCKS,1.56,40
CLEARANCES,5.36,63
AERIAL_DUELS_WON,1.83,16
