Salvi,,Cádiz
RAM,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,4
NON_PEN_XG,0.08,4
TOTAL_SHOTS,0.88,3
ASSISTS,0.04,4
XA,0.08,3
NON_PEN_XG+XA,0.16,1
SHOT_CREATIONS,1.39,1
PASSES_ATTEMPTED,25.41,5
PASS_COMPLETION_PERCENTAGE,56.9,1
PROGRESSIVE_PASSES,1.64,4
PROGRESSIVE CARRIES,3.11,2
DRIBBLES_COMPLETED,0.38,1
TOUCHES_IN_AREA,1.81,4
PROGRESSIVE_PASSES_RECIEVED,3.15,3
PRESSURES,15.25,43
TACKLES,1.18,34
INTERCEPTIONS,0.76,34
BLOCKS,1.30,61
CLEARANCES,1.55,99
AERIAL_DUELS_WON,0.92,70
