Manceau,Vincent,Angers
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,3
TOTAL_SHOTS,0.21,9
ASSISTS,0.00,8
XA,0.04,17
NON_PEN_XG+XA,0.05,6
SHOT_CREATIONS,0.67,2
PASSES_ATTEMPTED,62.67,84
PASS_COMPLETION_PERCENTAGE,85.7,92
PROGRESSIVE_PASSES,3.91,62
PROGRESSIVE CARRIES,3.48,24
DRIBBLES_COMPLETED,0.18,3
TOUCHES_IN_AREA,0.15,1
PROGRESSIVE_PASSES_RECIEVED,0.61,2
PRESSURES,10.24,17
TACKLES,1.27,9
INTERCEPTIONS,1.52,42
BLOCKS,1.64,32
CLEARANCES,2.36,48
AERIAL_DUELS_WON,0.42,6
