Traoré,Ismaël,Angers
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,80
NON_PEN_XG,0.05,51
TOTAL_SHOTS,0.37,28
ASSISTS,0.00,28
XA,0.01,44
NON_PEN_XG+XA,0.05,38
SHOT_CREATIONS,0.40,28
PASSES_ATTEMPTED,49.95,43
PASS_COMPLETION_PERCENTAGE,88.1,63
PROGRESSIVE_PASSES,1.33,6
PROGRESSIVE CARRIES,1.33,17
DRIBBLES_COMPLETED,0.31,72
TOUCHES_IN_AREA,0.82,53
PROGRESSIVE_PASSES_RECIEVED,0.09,26
PRESSURES,8.42,45
TACKLES,1.30,38
INTERCEPTIONS,1.82,60
BLOCKS,1.47,30
CLEARANCES,3.97,21
AERIAL_DUELS_WON,1.28,3
