Bobichon,Antonin,Angers
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.09,75
TOTAL_SHOTS,1.75,92
ASSISTS,0.00,11
XA,0.17,94
NON_PEN_XG+XA,0.27,90
SHOT_CREATIONS,2.69,83
PASSES_ATTEMPTED,55.83,64
PASS_COMPLETION_PERCENTAGE,82.9,44
PROGRESSIVE_PASSES,4.30,60
PROGRESSIVE CARRIES,4.98,75
DRIBBLES_COMPLETED,1.08,72
TOUCHES_IN_AREA,1.75,79
PROGRESSIVE_PASSES_RECIEVED,4.98,94
PRESSURES,23.95,90
TACKLES,2.02,40
INTERCEPTIONS,1.35,30
BLOCKS,1.48,44
CLEARANCES,0.40,2
AERIAL_DUELS_WON,0.94,40
