Mangani,Thomas,Angers
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,32
NON_PEN_XG,0.03,21
TOTAL_SHOTS,0.67,31
ASSISTS,0.15,84
XA,0.09,65
NON_PEN_XG+XA,0.12,40
SHOT_CREATIONS,2.31,71
PASSES_ATTEMPTED,66.52,85
PASS_COMPLETION_PERCENTAGE,81.5,35
PROGRESSIVE_PASSES,5.92,89
PROGRESSIVE CARRIES,2.13,13
DRIBBLES_COMPLETED,0.36,12
TOUCHES_IN_AREA,0.61,20
PROGRESSIVE_PASSES_RECIEVED,0.79,13
PRESSURES,21.84,82
TACKLES,2.67,75
INTERCEPTIONS,1.67,55
BLOCKS,1.43,40
CLEARANCES,2.10,84
AERIAL_DUELS_WON,1.09,47
