Bernardoni,Paul,Angers
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.22,12
GOALS_CONCEDED,1.40,45
SAVE_PERCENTAGE,61.0,6
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,11.1,51
CLEAN_SHEET_PERCENTAGE,25.7,52
TOUCHES,28.80,7
LAUNCH_PERCENTAGE,40.1,42
GOAL_KICKS,7.43,50
AVG_GOAL_KICK_DISTANCE,49.3,64
CROSSES_STOPPED_PERCENTAGE,9.5,84
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.40,16
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.8,30
