Capelle,Pierrick,Angers
DF,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,5
NON_PEN_XG,0.08,5
TOTAL_SHOTS,0.96,3
ASSISTS,0.09,14
XA,0.05,1
NON_PEN_XG+XA,0.13,1
SHOT_CREATIONS,2.35,14
PASSES_ATTEMPTED,49.34,84
PASS_COMPLETION_PERCENTAGE,81.4,84
PROGRESSIVE_PASSES,3.14,44
PROGRESSIVE CARRIES,3.44,5
DRIBBLES_COMPLETED,1.26,31
TOUCHES_IN_AREA,1.22,1
PROGRESSIVE_PASSES_RECIEVED,2.96,2
PRESSURES,21.18,87
TACKLES,2.40,95
INTERCEPTIONS,1.83,98
BLOCKS,1.22,53
CLEARANCES,1.70,99
AERIAL_DUELS_WON,1.83,93
