Doumbia,Souleyman,Angers
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,26
TOTAL_SHOTS,0.40,28
ASSISTS,0.04,25
XA,0.11,73
NON_PEN_XG+XA,0.13,55
SHOT_CREATIONS,1.03,11
PASSES_ATTEMPTED,49.65,37
PASS_COMPLETION_PERCENTAGE,83.8,86
PROGRESSIVE_PASSES,2.69,14
PROGRESSIVE CARRIES,4.95,59
DRIBBLES_COMPLETED,1.50,87
TOUCHES_IN_AREA,1.03,35
PROGRESSIVE_PASSES_RECIEVED,2.41,65
PRESSURES,10.88,24
TACKLES,1.94,44
INTERCEPTIONS,1.94,76
BLOCKS,1.82,48
CLEARANCES,1.94,30
AERIAL_DUELS_WON,0.99,36
