Pereira Lage,Mathias,Angers
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,37
NON_PEN_XG,0.13,17
TOTAL_SHOTS,1.79,37
ASSISTS,0.18,47
XA,0.08,5
NON_PEN_XG+XA,0.21,7
SHOT_CREATIONS,2.14,10
PASSES_ATTEMPTED,33.30,26
PASS_COMPLETION_PERCENTAGE,73.7,34
PROGRESSIVE_PASSES,3.04,39
PROGRESSIVE CARRIES,3.48,5
DRIBBLES_COMPLETED,1.16,26
TOUCHES_IN_AREA,2.14,9
PROGRESSIVE_PASSES_RECIEVED,4.29,13
PRESSURES,24.91,97
TACKLES,2.14,91
INTERCEPTIONS,1.61,95
BLOCKS,2.95,99
CLEARANCES,1.61,99
AERIAL_DUELS_WON,1.43,86
