"b'Basic, Toma'",Bordeaux
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,62
NON_PEN_XG,0.09,75
TOTAL_SHOTS,1.21,73
ASSISTS,0.14,82
XA,0.10,74
NON_PEN_XG+XA,0.19,77
SHOT_CREATIONS,1.54,35
PASSES_ATTEMPTED,45.55,35
PASS_COMPLETION_PERCENTAGE,82.5,42
PROGRESSIVE_PASSES,2.29,9
PROGRESSIVE CARRIES,3.32,39
DRIBBLES_COMPLETED,0.46,21
TOUCHES_IN_AREA,1.46,68
PROGRESSIVE_PASSES_RECIEVED,2.54,72
PRESSURES,17.33,42
TACKLES,1.00,3
INTERCEPTIONS,1.04,16
BLOCKS,1.29,26
CLEARANCES,1.54,52
AERIAL_DUELS_WON,1.00,42
