Oudin,Remi,Bordeaux
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,37
NON_PEN_XG,0.19,43
TOTAL_SHOTS,2.22,63
ASSISTS,0.25,74
XA,0.20,65
NON_PEN_XG+XA,0.39,51
SHOT_CREATIONS,2.55,19
PASSES_ATTEMPTED,38.92,50
PASS_COMPLETION_PERCENTAGE,67.4,11
PROGRESSIVE_PASSES,2.48,26
PROGRESSIVE CARRIES,4.56,18
DRIBBLES_COMPLETED,0.61,4
TOUCHES_IN_AREA,3.26,34
PROGRESSIVE_PASSES_RECIEVED,5.56,35
PRESSURES,8.64,1
TACKLES,1.33,47
INTERCEPTIONS,1.69,97
BLOCKS,1.43,73
CLEARANCES,1.26,95
AERIAL_DUELS_WON,1.43,86
