Kwateng,Enock,Bordeaux
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,56
NON_PEN_XG,0.03,36
TOTAL_SHOTS,0.31,20
ASSISTS,0.00,8
XA,0.05,22
NON_PEN_XG+XA,0.08,22
SHOT_CREATIONS,1.28,26
PASSES_ATTEMPTED,54.81,61
PASS_COMPLETION_PERCENTAGE,84.8,89
PROGRESSIVE_PASSES,4.95,85
PROGRESSIVE CARRIES,4.77,56
DRIBBLES_COMPLETED,0.66,42
TOUCHES_IN_AREA,0.62,13
PROGRESSIVE_PASSES_RECIEVED,0.71,4
PRESSURES,8.93,8
TACKLES,1.95,45
INTERCEPTIONS,3.09,99
BLOCKS,1.68,35
CLEARANCES,2.83,73
AERIAL_DUELS_WON,1.64,78
