Koscielny,Laurent,Bordeaux
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,45
TOTAL_SHOTS,0.25,10
ASSISTS,0.08,95
XA,0.02,60
NON_PEN_XG+XA,0.06,50
SHOT_CREATIONS,0.79,78
PASSES_ATTEMPTED,56.93,61
PASS_COMPLETION_PERCENTAGE,91.3,88
PROGRESSIVE_PASSES,2.62,51
PROGRESSIVE CARRIES,2.29,41
DRIBBLES_COMPLETED,0.21,50
TOUCHES_IN_AREA,0.50,17
PROGRESSIVE_PASSES_RECIEVED,0.04,11
PRESSURES,6.83,21
TACKLES,1.12,20
INTERCEPTIONS,2.21,82
BLOCKS,2.12,86
CLEARANCES,4.96,49
AERIAL_DUELS_WON,2.08,28
