Pembele,Timothee,Bordeaux
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,98
NON_PEN_XG,0.16,99
TOTAL_SHOTS,1.63,97
ASSISTS,0.00,8
XA,0.11,77
NON_PEN_XG+XA,0.28,93
SHOT_CREATIONS,2.01,70
PASSES_ATTEMPTED,41.46,10
PASS_COMPLETION_PERCENTAGE,76.0,36
PROGRESSIVE_PASSES,2.30,6
PROGRESSIVE CARRIES,6.03,79
DRIBBLES_COMPLETED,2.39,98
TOUCHES_IN_AREA,4.79,99
PROGRESSIVE_PASSES_RECIEVED,4.50,96
PRESSURES,15.22,79
TACKLES,1.53,18
INTERCEPTIONS,1.63,53
BLOCKS,1.24,6
CLEARANCES,0.77,1
AERIAL_DUELS_WON,1.05,40
