Bellanova,Raoul,Bordeaux
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.07,81
TOTAL_SHOTS,1.08,88
ASSISTS,0.12,69
XA,0.11,73
NON_PEN_XG+XA,0.18,78
SHOT_CREATIONS,1.56,47
PASSES_ATTEMPTED,30.36,1
PASS_COMPLETION_PERCENTAGE,75.1,32
PROGRESSIVE_PASSES,1.56,1
PROGRESSIVE CARRIES,3.72,30
DRIBBLES_COMPLETED,0.84,54
TOUCHES_IN_AREA,2.04,77
PROGRESSIVE_PASSES_RECIEVED,2.40,64
PRESSURES,10.80,23
TACKLES,1.80,36
INTERCEPTIONS,2.64,97
BLOCKS,1.56,26
CLEARANCES,0.84,1
AERIAL_DUELS_WON,1.08,43
