Haaland,Erling,Dortmund
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.92,98
NON_PEN_XG,0.69,98
TOTAL_SHOTS,3.42,88
ASSISTS,0.32,94
XA,0.20,83
NON_PEN_XG+XA,0.88,98
SHOT_CREATIONS,2.59,68
PASSES_ATTEMPTED,19.98,22
PASS_COMPLETION_PERCENTAGE,71.5,40
PROGRESSIVE_PASSES,1.58,55
PROGRESSIVE CARRIES,2.88,51
DRIBBLES_COMPLETED,0.95,48
TOUCHES_IN_AREA,7.56,95
PROGRESSIVE_PASSES_RECIEVED,8.42,68
PRESSURES,12.28,30
TACKLES,0.35,11
INTERCEPTIONS,0.32,36
BLOCKS,0.63,35
CLEARANCES,1.18,89
AERIAL_DUELS_WON,2.04,60
