Reyna,Gio,Dortmund
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,39
NON_PEN_XG,0.21,53
TOTAL_SHOTS,1.49,21
ASSISTS,0.06,10
XA,0.17,54
NON_PEN_XG+XA,0.39,52
SHOT_CREATIONS,2.55,20
PASSES_ATTEMPTED,41.02,60
PASS_COMPLETION_PERCENTAGE,77.3,57
PROGRESSIVE_PASSES,2.11,17
PROGRESSIVE CARRIES,5.90,48
DRIBBLES_COMPLETED,1.62,50
TOUCHES_IN_AREA,4.79,68
PROGRESSIVE_PASSES_RECIEVED,7.02,64
PRESSURES,17.15,59
TACKLES,1.37,55
INTERCEPTIONS,0.87,49
BLOCKS,1.55,80
CLEARANCES,0.56,56
AERIAL_DUELS_WON,1.37,84
