Hummels,Mats,Dortmund
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,77
NON_PEN_XG,0.06,68
TOTAL_SHOTS,0.69,78
ASSISTS,0.03,59
XA,0.02,67
NON_PEN_XG+XA,0.08,70
SHOT_CREATIONS,0.80,79
PASSES_ATTEMPTED,75.44,96
PASS_COMPLETION_PERCENTAGE,88.5,67
PROGRESSIVE_PASSES,3.06,64
PROGRESSIVE CARRIES,4.70,89
DRIBBLES_COMPLETED,0.23,56
TOUCHES_IN_AREA,1.00,72
PROGRESSIVE_PASSES_RECIEVED,0.26,73
PRESSURES,9.97,66
TACKLES,2.16,84
INTERCEPTIONS,2.67,95
BLOCKS,1.77,62
CLEARANCES,5.63,71
AERIAL_DUELS_WON,3.75,89
