Can,Emre,Dortmund
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,20
TOTAL_SHOTS,0.72,35
ASSISTS,0.11,73
XA,0.05,34
NON_PEN_XG+XA,0.08,20
SHOT_CREATIONS,1.13,14
PASSES_ATTEMPTED,65.42,84
PASS_COMPLETION_PERCENTAGE,86.6,72
PROGRESSIVE_PASSES,4.38,62
PROGRESSIVE CARRIES,5.13,78
DRIBBLES_COMPLETED,1.55,92
TOUCHES_IN_AREA,0.83,35
PROGRESSIVE_PASSES_RECIEVED,1.06,23
PRESSURES,12.95,8
TACKLES,2.19,48
INTERCEPTIONS,1.74,63
BLOCKS,1.85,75
CLEARANCES,2.23,87
AERIAL_DUELS_WON,1.70,72
