Bellingham,Jude,Dortmund
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,85
NON_PEN_XG,0.18,96
TOTAL_SHOTS,1.83,94
ASSISTS,0.25,97
XA,0.15,90
NON_PEN_XG+XA,0.33,96
SHOT_CREATIONS,2.84,86
PASSES_ATTEMPTED,47.09,38
PASS_COMPLETION_PERCENTAGE,83.7,50
PROGRESSIVE_PASSES,3.60,44
PROGRESSIVE CARRIES,4.42,63
DRIBBLES_COMPLETED,1.94,96
TOUCHES_IN_AREA,3.33,96
PROGRESSIVE_PASSES_RECIEVED,4.91,94
PRESSURES,22.40,85
TACKLES,2.46,62
INTERCEPTIONS,1.47,39
BLOCKS,2.48,97
CLEARANCES,1.04,25
AERIAL_DUELS_WON,1.75,74
