Kobel,Gregor,Dortmund
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.03,49
GOALS_CONCEDED,1.60,31
SAVE_PERCENTAGE,66.5,39
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,18.6,27
TOUCHES,38.73,72
LAUNCH_PERCENTAGE,26.4,8
GOAL_KICKS,7.41,50
AVG_GOAL_KICK_DISTANCE,30.2,7
CROSSES_STOPPED_PERCENTAGE,9.9,88
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.61,46
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.1,38
