Meunier,Thomas,Dortmund
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,52
NON_PEN_XG,0.05,70
TOTAL_SHOTS,0.61,53
ASSISTS,0.15,81
XA,0.13,79
NON_PEN_XG+XA,0.18,78
SHOT_CREATIONS,1.45,39
PASSES_ATTEMPTED,70.18,91
PASS_COMPLETION_PERCENTAGE,78.0,56
PROGRESSIVE_PASSES,5.33,91
PROGRESSIVE CARRIES,8.63,97
DRIBBLES_COMPLETED,1.07,71
TOUCHES_IN_AREA,1.56,61
PROGRESSIVE_PASSES_RECIEVED,3.04,78
PRESSURES,10.80,23
TACKLES,2.40,70
INTERCEPTIONS,1.52,44
BLOCKS,1.22,5
CLEARANCES,2.24,43
AERIAL_DUELS_WON,2.02,89
