Zagadou,Dan-Axel,Dortmund
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.08,87
TOTAL_SHOTS,0.77,84
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.08,71
SHOT_CREATIONS,0.97,89
PASSES_ATTEMPTED,88.45,99
PASS_COMPLETION_PERCENTAGE,91.9,91
PROGRESSIVE_PASSES,4.26,89
PROGRESSIVE CARRIES,4.65,87
DRIBBLES_COMPLETED,0.77,98
TOUCHES_IN_AREA,1.16,82
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,9.87,66
TACKLES,0.97,13
INTERCEPTIONS,2.90,98
BLOCKS,1.16,6
CLEARANCES,4.26,28
AERIAL_DUELS_WON,3.48,83
