Makengo,Jean-Victor,Udinese
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.05,35
TOTAL_SHOTS,0.85,43
ASSISTS,0.07,51
XA,0.05,37
NON_PEN_XG+XA,0.10,30
SHOT_CREATIONS,1.51,33
PASSES_ATTEMPTED,31.88,5
PASS_COMPLETION_PERCENTAGE,81.3,33
PROGRESSIVE_PASSES,2.23,7
PROGRESSIVE CARRIES,4.33,61
DRIBBLES_COMPLETED,0.85,57
TOUCHES_IN_AREA,1.44,67
PROGRESSIVE_PASSES_RECIEVED,2.03,63
PRESSURES,14.30,15
TACKLES,0.85,2
INTERCEPTIONS,0.79,5
BLOCKS,1.25,22
CLEARANCES,0.66,8
AERIAL_DUELS_WON,0.85,34
